time,bit_size,delta_scale,delta_location,function,round,entropy,min_entropy,kl_divergence,statistical_distance
68.56s,32,48125,3804,data_distrib,0,1.1798857,0.4512866,30.817047,0.5019531
3150.85s,32,48125,3804,T1,1,3.2483027,1.408103,12.672449,0.4907403
3240.85s,32,48125,3804,T4,4,6.521856,4.5347147,9.08123,0.46651417
3251.64s,32,48125,3804,T2,2,4.7932253,2.8494382,10.999029,0.48257598
3963.21s,32,48125,3804,T5,5,7.1055193,5.1130524,8.438016,0.45757055
4095.90s,32,48125,3804,T6,6,7.589575,5.5985255,8,0.44995266
4449.65s,32,48125,3804,T3,3,5.787186,3.7980428,9.910885,0.47410488
4756.45s,32,48125,3804,rot_25,1,3.2483017,1.408103,12.67245,0.49074036
4759.68s,32,48125,3804,rot_17,1,3.2483017,1.408103,12.67245,0.49074036
4762.14s,32,48125,3804,rot_1,1,3.2483017,1.408103,12.67245,0.49074036
5626.95s,32,48125,3804,rot_1,2,6.757266,3.9864738,8.903977,0.46604475
5744.31s,32,48125,3804,rot_25,2,12.785822,10.873526,1,0.125
6005.37s,32,48125,3804,rot_17,2,15.998804,15.97192,-0.00012207031,0.000061035156
6495.07s,32,48125,3804,rot_1,3,8.368767,5.7155476,6.375,0.37241417
6717.59s,32,48125,3804,rot_25,3,16.000015,15.999736,0.00000027139905,0.0000019073486
7259.61s,32,48125,3804,rot_17,3,16,16,0.000000014901161,0.000000007450581
7337.77s,32,48125,3804,rot_1,4,9.585636,7.1548595,5.262857,0.34878471
7700.55s,32,48125,3804,rot_25,4,15.999999,16,0,0.0000000004656613
8187.14s,32,48125,3804,rot_1,5,10.371113,7.9270205,3.8342547,0.25
8500.72s,32,48125,3804,rot_17,4,16,16,0,0
8692.22s,32,48125,3804,rot_25,5,15.999999,16,0,0.00000000023283064
9045.99s,32,48125,3804,rot_1,6,11.1001,8.657478,3.5,0.375
9342.31s,32,48125,3804,rot_2,1,3.2483017,1.408103,12.67245,0.49074036
9685.41s,32,48125,3804,rot_25,6,15.999999,16,0,0.0000000004656613
9761.50s,32,48125,3804,rot_17,5,16,16,0,0
10095.81s,32,48125,3804,rot_26,1,3.2483017,1.408103,12.67245,0.49074036
10460.04s,32,48125,3804,rot_2,2,6.652859,3.996716,8.8501835,0.45318604
11425.25s,32,48125,3804,rot_26,2,12.498034,10.1674385,2,0.125
11526.45s,32,48125,3804,rot_17,6,15.999999,16,0,0.00000000023283064
11642.24s,32,48125,3804,rot_2,3,9.499412,6.402519,5.46875,0.35602212
11904.23s,32,48125,3804,rot_18,1,3.2483017,1.408103,12.67245,0.49074036
12715.40s,32,48125,3804,rot_26,3,16.000004,15.998944,0.00000034916854,0.0000038146973
12763.35s,32,48125,3804,rot_2,4,12.0518875,8.521915,2.5833333,0.1953125
13846.54s,32,48125,3804,rot_18,2,16.000408,15.998569,-0.000014042791,0.0000076293945
14155.91s,32,48125,3804,rot_2,5,13.902209,10.15277,1.5,0.125
14307.87s,32,48125,3804,rot_26,4,15.999999,16,0,0.0000000004656613
15580.27s,32,48125,3804,rot_2,6,15.149063,11.717632,0.5,0.0625
16055.25s,32,48125,3804,rot_26,5,15.999999,16,0,0.00000000023283064
16069.24s,32,48125,3804,rot_18,3,15.999999,16,0,0.00000000020825902
16091.23s,32,48125,3804,rot_3,1,3.2483017,1.408103,12.67245,0.49074036
17565.66s,32,48125,3804,rot_3,2,7.611138,4.8141775,8.253273,0.44970703
17721.20s,32,48125,3804,rot_26,6,15.999999,16,0,0.0000000004656613
18230.92s,32,48125,3804,rot_27,1,3.2483017,1.408103,12.67245,0.49074036
18337.40s,32,48125,3804,rot_18,4,15.999999,16,0,0.0000000004656613
19071.75s,32,48125,3804,rot_3,3,10.970554,7.598477,3.46875,0.265625
19882.60s,32,48125,3804,rot_27,2,11.535692,9.172187,3.2950594,0.25
20605.31s,32,48125,3804,rot_18,5,15.999999,16,0,0.00000000023283064
20682.58s,32,48125,3804,rot_3,4,13.774559,10.153202,1,0.125
21776.47s,32,48125,3804,rot_27,3,15.970134,15.598413,0.0009765625,0.0009765625
22233.45s,32,48125,3804,rot_3,5,15.344336,12.478653,0.25,0.03125
22871.57s,32,48125,3804,rot_18,6,15.999999,16,0,0.0000000004656613
23381.51s,32,48125,3804,rot_19,1,3.2483017,1.408103,12.67245,0.49074036
23460.42s,32,48125,3804,rot_27,4,16,16,0.000000029540388,0.000000014901161
23737.76s,32,48125,3804,rot_3,6,15.826044,14.236591,0.03125,0.0078125
24210.18s,32,48125,3804,rot_4,1,3.2483017,1.408103,12.67245,0.49074036
25086.18s,32,48125,3804,rot_27,5,16,16,0,0
25532.14s,32,48125,3804,rot_19,2,15.999088,15.93215,0.00024264539,0.00024414063
25818.43s,32,48125,3804,rot_4,2,8.163261,5.5226474,7.331585,0.42435855
26676.12s,32,48125,3804,rot_27,6,15.999999,16,0,0.00000000023283064
27165.72s,32,48125,3804,rot_28,1,3.2483017,1.408103,12.67245,0.49074036
27297.54s,32,48125,3804,rot_4,3,12.227344,9.073924,2.375,0.234375
27756.18s,32,48125,3804,rot_19,3,15.999999,16,0,0.00000000011641532
28802.76s,32,48125,3804,rot_4,4,14.58017,12.311762,0.25,0.03125
28815.09s,32,48125,3804,rot_28,2,10.566447,8.182708,4.2626953,0.3171997
30032.45s,32,48125,3804,rot_19,4,15.999999,16,0,0.0000000004656613
30449.84s,32,48125,3804,rot_28,3,15.456585,14.07137,0.03125,0.0078125
30469.83s,32,48125,3804,rot_4,5,15.720962,14.820365,0.015625,0.00390625
32013.12s,32,48125,3804,rot_4,6,16.001078,15.97192,0.00012207031,0.000061035156
32025.44s,32,48125,3804,rot_28,4,16,16,0.0000000138679725,0.000000059604645
32224.87s,32,48125,3804,rot_19,5,15.999999,16,0,0.00000000023283064
32517.58s,32,48125,3804,rot_5,1,3.2483017,1.408103,12.67245,0.49074036
33655.83s,32,48125,3804,rot_28,5,16,16,0,0
34054.06s,32,48125,3804,rot_5,2,8.595794,6.087112,6.6453123,0.4118183
34430.97s,32,48125,3804,rot_19,6,15.999999,16,0,0.0000000004656613
34935.82s,32,48125,3804,rot_20,1,3.2483017,1.408103,12.67245,0.49074036
35178.23s,32,48125,3804,rot_28,6,15.999999,16,0,0.00000000023283064
35627.42s,32,48125,3804,rot_5,3,13.418732,10.564746,1,0.125
35656.31s,32,48125,3804,rot_29,1,3.2483017,1.408103,12.67245,0.49074036
37284.69s,32,48125,3804,rot_5,4,15.644365,14.212542,0.03125,0.0078125
37306.23s,32,48125,3804,rot_20,2,15.960328,15.538309,0.0009905305,0.0009765625
37366.41s,32,48125,3804,rot_29,2,9.97514,7.350909,4.7558594,0.32873535
38773.25s,32,48125,3804,rot_5,5,15.993959,15.994676,-0.000030517578,0.0000076293945
38954.74s,32,48125,3804,rot_29,3,14.542875,12.340081,0.25,0.03125
39448.76s,32,48125,3804,rot_20,3,15.999999,16,0,0.00000000011641532
40264.94s,32,48125,3804,rot_5,6,15.999999,16,0,0.0000000009313226
40429.73s,32,48125,3804,rot_29,4,15.99944,15.931739,0.000058889378,0.00012207031
40731.55s,32,48125,3804,rot_6,1,3.2483017,1.408103,12.67245,0.49074036
41570.70s,32,48125,3804,rot_20,4,15.999999,16,0,0.0000000004656613
41893.82s,32,48125,3804,rot_29,5,16,16,0,0.00000000023283064
42166.02s,32,48125,3804,rot_6,2,9.558665,6.825903,5.806293,0.37472874
43033.84s,32,48125,3804,rot_29,6,15.999999,16,0,0.00000000023283064
43128.37s,32,48125,3804,rot_20,5,15.999999,16,0,0.00000000023283064
43314.87s,32,48125,3804,rot_6,3,14.481744,12.135474,0.25,0.03125
43398.96s,32,48125,3804,rot_30,1,3.2483017,1.408103,12.67245,0.49074036
44466.97s,32,48125,3804,rot_6,4,15.993176,15.8044195,0.0009765625,0.00048828125
44473.38s,32,48125,3804,rot_30,2,9.052945,6.3885136,6.0039063,0.369926
44621.07s,32,48125,3804,rot_20,6,15.999999,16,0,0.0000000004656613
44960.45s,32,48125,3804,rot_21,1,3.2483017,1.408103,12.67245,0.49074036
45524.53s,32,48125,3804,rot_30,3,13.4914,10.6888275,1,0.125
45601.29s,32,48125,3804,rot_6,5,16,16,0.0000000000002264855,0.0000000010615604
46145.84s,32,48125,3804,rot_21,2,15.728126,14.77297,0.015625,0.00390625
46562.32s,32,48125,3804,rot_30,4,15.7157755,14.357942,0.03125,0.0078125
46720.78s,32,48125,3804,rot_6,6,15.999999,16,0,0.00000000023283064
47060.83s,32,48125,3804,rot_7,1,3.2483017,1.408103,12.67245,0.49074036
47333.26s,32,48125,3804,rot_21,3,15.999999,16,0,0.00000000023283064
47609.01s,32,48125,3804,rot_30,5,15.999898,15.988772,0.0000006111356,0.000030517578
48223.15s,32,48125,3804,rot_7,2,10.370894,7.8035994,3.6021187,0.27734375
48509.33s,32,48125,3804,rot_21,4,15.999999,16,0,0.0000000004656613
48662.66s,32,48125,3804,rot_30,6,15.999999,16,0,0.00000000023283064
48992.97s,32,48125,3804,rot_31,1,3.2483017,1.408103,12.67245,0.49074036
49366.23s,32,48125,3804,rot_7,3,15.279765,13.820365,0.0625,0.0078125
49671.18s,32,48125,3804,rot_21,5,15.999999,16,0,0.00000000023283064
50017.44s,32,48125,3804,rot_31,2,8.0739765,5.473602,7.2773438,0.4192749
50494.79s,32,48125,3804,rot_7,4,16,16,0,0.0000000009323262
50848.90s,32,48125,3804,rot_21,6,15.999999,16,0,0.0000000004656613
51048.28s,32,48125,3804,rot_31,3,12.193004,9.111223,2.6328125,0.20754568
51194.64s,32,48125,3804,rot_22,1,3.2483017,1.408103,12.67245,0.49074036
51668.10s,32,48125,3804,rot_7,5,16,16,0,0.0000000009313226
52092.22s,32,48125,3804,rot_31,4,14.866079,12.10526,0.25,0.03125
52360.30s,32,48125,3804,rot_22,2,15.224612,13.840583,0.0625,0.0078125
52822.73s,32,48125,3804,rot_7,6,15.999999,16,0,0.0000000009313226
53124.05s,32,48125,3804,rot_31,5,15.887975,14.573921,0.015625,0.00390625
53177.52s,32,48125,3804,rot_8,1,3.2483017,1.408103,12.67245,0.49074036
53531.86s,32,48125,3804,rot_22,3,16,16,0.000000013926526,0.0000000018665167
54158.87s,32,48125,3804,rot_31,6,15.995591,15.885862,0.000069618225,0.00024414063
54383.38s,32,48125,3804,rot_8,2,11.255313,8.71455,3.25,0.25
54498.48s,32,48125,3804,rot_32,1,3.2483017,1.408103,12.67245,0.49074036
54683.43s,32,48125,3804,rot_22,4,15.999999,16,0,0.0000000004656613
55535.97s,32,48125,3804,rot_32,2,7.412123,4.7970934,8.062971,0.4394453
55573.83s,32,48125,3804,rot_8,3,15.945547,15.368433,0.00390625,0.001953125
55836.02s,32,48125,3804,rot_22,5,15.999999,16,0,0.00000000023283064
56591.20s,32,48125,3804,rot_32,3,10.491541,7.1849594,4.168757,0.29296875
56802.19s,32,48125,3804,rot_8,4,15.999999,16,0,0.0000000004656613
57008.61s,32,48125,3804,rot_22,6,15.999999,16,0,0.0000000004656613
57362.54s,32,48125,3804,rot_23,1,3.2483017,1.408103,12.67245,0.49074036
57627.49s,32,48125,3804,rot_32,4,13.231049,9.54583,1.6807812,0.140625
58035.24s,32,48125,3804,rot_8,5,15.999999,16,0,0.00000000023283064
58534.49s,32,48125,3804,rot_23,2,14.553187,12.866426,0.125,0.03125
58662.66s,32,48125,3804,rot_32,5,14.992999,11.843743,0.5,0.0625
59277.00s,32,48125,3804,rot_8,6,15.999999,16,0,0.0000000004656613
59617.35s,32,48125,3804,rot_9,1,3.2483017,1.408103,12.67245,0.49074036
59709.37s,32,48125,3804,rot_32,6,15.646017,13.385857,0.0625,0.015625
59714.30s,32,48125,3804,rot_23,3,16.000002,15.999995,0.000000016285163,0.00000023841858
60051.34s,32,48125,3804,rot_13,1,3.2483017,1.408103,12.67245,0.49074036
60843.05s,32,48125,3804,rot_9,2,12.161746,9.678082,2,0.25
60890.09s,32,48125,3804,rot_23,4,15.999999,16,0,0.0000000004656613
61358.99s,32,48125,3804,rot_13,2,14.989957,13.377494,0.125,0.015625
62098.29s,32,48125,3804,rot_23,5,15.999999,16,0,0.00000000023283064
62098.53s,32,48125,3804,rot_9,3,15.995799,15.973473,-0.00012207031,0.000061035156
62718.15s,32,48125,3804,rot_13,3,16.000002,15.999979,0.0000019073486,0.00000047683716
63303.21s,32,48125,3804,rot_23,6,15.999999,16,0,0.0000000004656613
63322.04s,32,48125,3804,rot_9,4,15.999999,16,0,0.00000000068133643
63664.13s,32,48125,3804,rot_24,1,3.2483017,1.408103,12.67245,0.49074036
64046.95s,32,48125,3804,rot_13,4,15.999999,16,0,0.0000000009313226
64542.87s,32,48125,3804,rot_9,5,16,16,0,0.0000000004656613
64867.25s,32,48125,3804,rot_24,2,13.707325,11.871206,0.5,0.0625
65382.17s,32,48125,3804,rot_13,5,15.999999,16,0,0.0000000004656613
65820.67s,32,48125,3804,rot_9,6,15.999999,16,0,0.00000000023283064
66046.97s,32,48125,3804,rot_24,3,16,15.999932,-0.00000008645479,0.0000009536743
66164.72s,32,48125,3804,rot_10,1,3.2483017,1.408103,12.67245,0.49074036
66710.68s,32,48125,3804,rot_13,6,15.999999,16,0,0.0000000004656613
67045.91s,32,48125,3804,rot_14,1,3.2483017,1.408103,12.67245,0.49074036
67218.41s,32,48125,3804,rot_24,4,15.999999,16,0,0.0000000004656613
67419.84s,32,48125,3804,rot_10,2,12.770189,10.657313,1,0.125
68332.30s,32,48125,3804,rot_14,2,15.499589,14.236859,0.03125,0.0078125
68411.69s,32,48125,3804,rot_24,5,15.999999,16,0,0.00000000023283064
68673.47s,32,48125,3804,rot_10,3,16,16,0.000000014901161,0.000000003725764
69595.84s,32,48125,3804,rot_24,6,15.999999,16,0,0.0000000004656613
69607.14s,32,48125,3804,rot_14,3,16,16,0.00000011920929,0.000000059604645
69903.09s,32,48125,3804,rot_10,4,15.999999,16,0,0.0000000009313226
69944.48s,32,48125,3804,rot_15,1,3.2483017,1.408103,12.67245,0.49074036
70849.71s,32,48125,3804,rot_14,4,15.999999,16,0,0.0000000009313226
71110.04s,32,48125,3804,rot_10,5,15.999999,16,0,0.0000000004656613
71322.81s,32,48125,3804,rot_15,2,15.859683,15.106793,0.0078125,0.001953125
72164.98s,32,48125,3804,rot_14,5,15.999999,16,0,0.0000000004656613
72322.31s,32,48125,3804,rot_10,6,15.999999,16,0,0.0000000004656613
72662.12s,32,48125,3804,rot_11,1,3.2483017,1.408103,12.67245,0.49074036
72718.15s,32,48125,3804,rot_15,3,16,16,0.0000000012599495,0.0000000018626451
73404.03s,32,48125,3804,rot_14,6,15.999999,16,0,0.0000000009313226
73738.22s,32,48125,3804,rot_16,1,3.2483017,1.408103,12.67245,0.49074036
73902.98s,32,48125,3804,rot_11,2,13.761201,11.652129,0.5,0.0625
74064.95s,32,48125,3804,rot_15,4,15.999999,16,0,0.0000000004656613
75146.50s,32,48125,3804,rot_11,3,16,16,0.000000059604645,0.000000029802322
75178.81s,32,48125,3804,rot_16,2,15.987162,15.715325,0.001953125,0.00048828125
75414.61s,32,48125,3804,rot_15,5,15.999999,16,0,0.0000000004656613
76400.03s,32,48125,3804,rot_11,4,15.999999,16,0,0.0000000011423258
76612.32s,32,48125,3804,rot_16,3,15.999999,16,0,0.0000000004656613
76789.27s,32,48125,3804,rot_15,6,15.999999,16,0,0.0000000004656613
77609.94s,32,48125,3804,rot_11,5,15.999999,16,0,0.0000000009313226
77996.20s,32,48125,3804,rot_16,4,15.999999,16,0,0.0000000004656613
78784.50s,32,48125,3804,rot_11,6,15.999999,16,0,0.0000000004656613
79079.52s,32,48125,3804,rot_12,1,3.2483017,1.408103,12.67245,0.49074036
79276.46s,32,48125,3804,rot_16,5,15.999999,16,0,0.00000000023283064
80150.52s,32,48125,3804,rot_12,2,14.487531,12.633838,0.25,0.03125
80492.38s,32,48125,3804,rot_16,6,15.999999,16,0,0.0000000004656613
81164.15s,32,48125,3804,rot_12,3,16,15.999995,-0.00000047683716,0.00000023841858
82170.15s,32,48125,3804,rot_12,4,15.999999,16,0,0.0000000004656613
83174.39s,32,48125,3804,rot_12,5,15.999999,16,0,0.0000000004656613
84167.09s,32,48125,3804,rot_12,6,15.999999,16,0,0.0000000004656613